ID	GeneSet	BroadUrl	Description	PubMedID	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
M2674	PIGF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	Pablo Tamayo	1e-04	0.000104347826086957	0.610990805548013	-1	54.202478236857
M2675	VEGF_A_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_DN.html	Genes down-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	Pablo Tamayo	1e-04	0.000104347826086957	0.635730065900543	-1	58.0162269010716
M2676	VEGF_A_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	Pablo Tamayo	1e-04	0.000104347826086957	0.767795369805602	1	78.3751167457921
M2677	BCAT_GDS748_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_GDS748_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	Pablo Tamayo	1e-04	0.000104347826086957	0.610438972353356	-1	54.1174088742728
M2678	BCAT_GDS748_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_GDS748_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	Pablo Tamayo	1e-04	0.000104347826086957	0.599106474059533	1	52.3704164575872
M2680	BCAT.100_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT.100_UP.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	Pablo Tamayo	1e-04	0.000104347826086957	0.84995723069844	1	91.0410041961177
M2681	ATF2_S_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_S_UP.V1_DN.html	Genes down-regulated in myometrial cells over-expressing a shortened splice form of ATF2 [Gene ID=1386] gene.	15691874	Pablo Tamayo	1e-04	0.000104347826086957	0.716867099908626	1	70.5241293467087
M2682	ATF2_S_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_S_UP.V1_UP.html	Genes up-regulated in myometrial cells over-expressing a shortened splice form of ATF2 [Gene ID=1386] gene.	15691874	Pablo Tamayo	1e-04	0.000104347826086957	0.72481064981361	1	71.7486891115344
M2684	ATF2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_UP.V1_DN.html	Genes down-regulated in myometrial cells over-expressing ATF2 [Gene ID=1386] gene.	15691874	Pablo Tamayo	1e-04	0.000104347826086957	0.705737903146771	1	68.8084774363651
M2686	ATF2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_UP.V1_UP.html	Genes up-regulated in myometrial cells over-expressing ATF2 [Gene ID=1386] gene.	15691874	Pablo Tamayo	1e-04	0.000104347826086957	0.826508363932181	1	87.4261797012527
M2691	ATM_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.821037348313303	1	86.5827802539341
M2692	ATM_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.849311183512941	1	90.941411016871
M2693	P53_DN.V2_DN	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.762444857604653	1	77.5502938340129
M2694	P53_DN.V2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.834338840043532	1	88.6333082646891
M2695	RELA_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.888678332747999	1	97.0101620898508
M2696	RELA_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	Pablo Tamayo	1e-04	0.000104347826086957	0.808488373200271	1	84.6482585102517
M2697	P53_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V1_DN.html	Genes down-regulated in NCI-60 panel of cell lines with mutated TP53 [Gene ID=7157].	16199517	Pablo Tamayo	1e-04	0.000104347826086957	0.793289499352378	1	82.3052343450592
M2698	P53_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V1_UP.html	Genes up-regulated in NCI-60 panel of cell lines with mutated TP53 [Gene ID=7157].	16199517	Pablo Tamayo	1e-04	0.000104347826086957	0.640623315723678	1	58.7705592744216
M2703	BCAT_BILD_ET_AL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_BILD_ET_AL_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing activated CTNNB1 [Gene ID=1499] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.538629384676121	1	43.0474045499984
M2704	E2F3_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/E2F3_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing E2F3 [Gene ID=1871] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.610030604839741	1	54.0544558579997
M2706	E2F3_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/E2F3_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing E2F3 [Gene ID=1871] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.659291559448035	1	61.6484136869008
M2708	MYC_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MYC_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing MYC [Gene ID=4609] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.70509659633282	1	68.7096150221213
M2711	MYC_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MYC_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing MYC [Gene ID=4609] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.640379873979022	1	58.7330308432857
M2713	SRC_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SRC_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing SRC [Gene ID=6714] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.62923725986075	1	57.015310543492
M2714	SRC_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SRC_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing SRC [Gene ID=6714] gene.	16273092	Pablo Tamayo	1e-04	0.000104347826086957	0.844938003750924	1	90.2672514729679
M2719	CAMP_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CAMP_UP.V1_DN.html	Genes down-regulated in primary thyrocyte cultures in response to cAMP signaling pathway activation by thyrotropin (TSH).	16381821	Pablo Tamayo	1e-04	0.000104347826086957	0.490781838864552	1	35.6713346382657
M2720	CAMP_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CAMP_UP.V1_UP.html	Genes up-regulated in primary thyrocyte cultures in response to cAMP signaling pathway activation by thyrotropin (TSH).	16381821	Pablo Tamayo	1e-04	0.000104347826086957	0.464478915649489	1	31.6165352284633
M2721	LTE2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.635686131709079	-1	58.0094541050534
M2723	LTE2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.534554734404277	1	42.419265640025
M2724	MEK_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.667082660611316	-1	62.8494722970135
M2725	MEK_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.612860704690761	1	54.4907376777721
M2726	RAF_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RAF_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active RAF1 [Gene ID=5894] gene.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.628273532113107	-1	56.8667444441883
M2728	RAF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RAF_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active RAF1 [Gene ID=5894] gene.	16585219	Pablo Tamayo	1e-04	0.000104347826086957	0.500153296682174	1	37.1160174713175
M2730	PRC1_BMI_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.81392944545096	1	85.4870419553614
M2732	PRC1_BMI_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.779751259055954	1	80.218209708487
M2734	PRC2_EDD_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EDD_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of EED [Gene ID=8726] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.656488962067296	1	61.2163715860128
M2736	PRC2_EDD_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EDD_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of EED [Gene ID=8726] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.616557160939533	1	55.060575048825
M2737	PRC2_EZH2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EZH2_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of EZH2 [Gene ID=2146] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.604506741657778	1	53.2029095493665
M2739	PRC2_EZH2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EZH2_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of EZH2 [Gene ID=2146] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.667774106112387	1	62.9560639783536
M2740	PRC2_SUZ12_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.694266521002394	1	67.0400749980383
M2741	PRC2_SUZ12_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	Pablo Tamayo	1e-04	0.000104347826086957	0.758121596961955	1	76.8838297091284
M2745	JNK_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/JNK_DN.V1_DN.html	Genes down-regulated in JNK inhibitor-treated (SP600125[PubChem=8515]) keratinocytes.	16648634	Pablo Tamayo	1e-04	0.000104347826086957	0.750543680049737	1	75.715635103078
M2746	JNK_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/JNK_DN.V1_UP.html	Genes up-regulated in JNK inhibitor-treated (SP600125[PubChem=8515]) keratinocytes.	16648634	Pablo Tamayo	1e-04	0.000104347826086957	0.696079957456279	1	67.3196302779898
M2747	BRCA1_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	Pablo Tamayo	1e-04	0.000104347826086957	0.792128894996372	1	82.1263181911676
M2748	BRCA1_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	Pablo Tamayo	1e-04	0.000104347826086957	0.75842985504414	1	76.9313500808943
M2751	CTIP_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	Pablo Tamayo	1e-04	0.000104347826086957	0.682178337494334	1	65.1765878504959
M2752	CTIP_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	Pablo Tamayo	1e-04	0.000104347826086957	0.794423376119217	1	82.4800302339944
M2756	MTOR_UP.N4.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_DN.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	Pablo Tamayo	1e-04	0.000104347826086957	0.564727185772489	1	47.0705827959089
M2757	MTOR_UP.N4.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_UP.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	Pablo Tamayo	1e-04	0.000104347826086957	0.48173039173602	-1	34.2759839323939
M2758	PTEN_DN.V2_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V2_DN.html	Genes up-regulated in HCT116 cells (colon carcinoma) upon knockdown of PTEN [Gene ID=5728] by RNAi.	17060456	Pablo Tamayo	1e-04	0.000104347826086957	0.727668737339503	1	72.1892854482381
M2759	PTEN_DN.V2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V2_UP.html	Genes up-regulated in HCT116 cells (colon carcinoma) upon knockdown of PTEN [Gene ID=5728] by RNAi.	17060456	Pablo Tamayo	1e-04	0.000104347826086957	0.758079803489971	1	76.8773869216044
M2760	DCA_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/DCA_UP.V1_DN.html	Genes down-regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].	17222789	Pablo Tamayo	1e-04	0.000104347826086957	0.667267599888526	1	62.8779821195131
M2762	DCA_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DCA_UP.V1_UP.html	Genes up-regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].	17222789	Pablo Tamayo	1e-04	0.000104347826086957	0.747728642453679	1	75.2816752466112
M2773	ALK_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ALK_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [Gene ID=238] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.726032167490794	1	71.9369955258447
M2774	ALK_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ALK_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [Gene ID=238] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.816476792815252	1	85.879735288526
M2775	BMI1_DN_MEL18_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN_MEL18_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 and PCGF2 [Gene ID=648, 7703] genes by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.84535049243417	1	90.3308397994707
M2781	BMI1_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [Gene ID=648] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.745452615880493	1	74.930808115601
M2782	BMI1_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [Gene ID=648] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.586512505747304	1	50.4289586636394
M2783	MEL18_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEL18_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [Gene ID=7703] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.763777973677136	1	77.755804005628
M2784	MEL18_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MEL18_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [Gene ID=7703] gene by RNAi.	17452456	Pablo Tamayo	1e-04	0.000104347826086957	0.640271562612678	1	58.7163338069626
M2786	PTEN_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_DN.html	Genes down-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	Pablo Tamayo	1e-04	0.000104347826086957	0.782388970311191	1	80.624833335584
M2787	PTEN_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_UP.html	Genes up-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	Pablo Tamayo	1e-04	0.000104347826086957	0.817727849309371	1	86.0725953403349
M2788	NOTCH_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/NOTCH_DN.V1_DN.html	Genes down-regulated in MOLT4 cells (T-ALL) by DAPT [PubChem=16219261], an inhibitor of NOTCH signaling pathway.	17560996	Pablo Tamayo	1e-04	0.000104347826086957	0.836510677877357	1	88.9681138942679
M2789	NOTCH_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/NOTCH_DN.V1_UP.html	Genes up-regulated in MOLT4 cells (T-ALL) by DAPT [PubChem=16219261], an inhibitor of NOTCH signaling pathway.	17560996	Pablo Tamayo	1e-04	0.000104347826086957	0.667815555034197	1	62.9624536507986
M2790	EIF4E_DN	http://www.broadinstitute.org/gsea/msigdb/cards/EIF4E_DN.html	Genes down-regulated in HMEC cells (primary mammary epithelium) upon over-expression of EIF4E [Gene ID=1977] gene.	17638893	Pablo Tamayo	1e-04	0.000104347826086957	0.633552631656686	-1	57.6805585415252
M2791	EIF4E_UP	http://www.broadinstitute.org/gsea/msigdb/cards/EIF4E_UP.html	Genes up-regulated in HMEC cells (primary mammary epithelium) upon over-expression of EIF4E [Gene ID=1977] gene.	17638893	Pablo Tamayo	1e-04	0.000104347826086957	0.46805237033158	1	32.1674109549909
M2812	RPS14_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RPS14_DN.V1_DN.html	Genes down-regulated in CD34+ hematopoietic progenitor cells after knockdown of RPS14 [Gene ID=6208] by RNAi.	18202658	Pablo Tamayo	1e-04	0.000104347826086957	0.64704979677754	-1	59.7612511215311
M2816	RPS14_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RPS14_DN.V1_UP.html	Genes up-regulated in CD34+ hematopoietic progenitor cells after knockdown of RPS14 [Gene ID=6208] by RNAi.	18202658	Pablo Tamayo	1e-04	0.000104347826086957	0.630904857312809	1	57.2723836113451
M2818	IL15_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/IL15_UP.V1_DN.html	Genes down-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL15 [Gene ID=3600].	18281483	Pablo Tamayo	1e-04	0.000104347826086957	0.712182445910496	1	69.8019536359928
M2819	IL15_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL15_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL15 [Gene ID=3600].	18281483	Pablo Tamayo	1e-04	0.000104347826086957	0.765904622429927	1	78.0836433882382
