,GENE.SET,ES,NES,P.VALUE
308,18245461-SuppTable2,0.562,1.61,0.037
309,16434974-Table2,-0.455,-1.52,0.0372
310,20068109-SuppTable4,0.541,1.71,0.0373
311,17761949-TableS1,-0.384,-1.51,0.0373
312,15469929-Table2,-0.81,-1.53,0.0375
313,19356222-SuppTable6,-0.537,-1.57,0.0378
314,17885619-Table4b,-0.718,-1.63,0.0381
315,12082018-table1,-0.508,-1.65,0.0381
316,11108479-SuppTable2,-0.451,-1.63,0.0383
317,17210693-Table1,0.557,1.68,0.0385
318,15572690-SuppTable3,0.368,1.49,0.0385
319,20035825-TableS7a,-0.321,-1.45,0.0385
320,19658189-TableS8b,-0.484,-1.57,0.0386
321,17970077-Table5,-0.469,-1.6,0.0387
322,18378853-Table3a,-0.563,-1.68,0.0387
323,16518402-SuppTable1,0.496,1.65,0.039
324,17760805-SuppTableS2a,-0.397,-1.55,0.0394
325,18310505-TableS8,-0.448,-1.68,0.0394
326,17161497-Table3,-0.567,-1.62,0.0396
327,17699800-Table1,-0.488,-1.66,0.0396
328,17209051-Table1,0.628,1.52,0.0397
329,17880687-Table2,0.576,1.61,0.0398
330,17449903-Table2,-0.48,-1.57,0.0401
331,14996721-Table1b,-0.573,-1.61,0.0402
332,17234769-TableS5b,-0.643,-1.67,0.0403
333,20976176-Table1,-0.527,-1.58,0.0404
334,19695104-AF1-5,0.548,1.6,0.0405
335,19605494-TableS3,-0.33,-1.49,0.0405
336,15723654-Table4,-0.435,-1.49,0.0406
337,17389037-Tab4,0.495,1.51,0.0408
338,18798265-tableS2,0.426,1.63,0.041
339,19458276-Table3,-0.594,-1.73,0.0412
340,19525976-SuppTable5c,0.414,1.55,0.0413
341,17344918-SuppTable1,-0.399,-1.55,0.0415
342,14684422-TableS1,-0.404,-1.57,0.0415
343,17088983-Table2b,-0.534,-1.6,0.0416
344,15831697-TableS3,-0.361,-1.53,0.0417
345,16410819-Table3,-0.576,-1.63,0.0417
346,15171711-Table1,0.38,1.55,0.0418
347,16203770-Table3,-0.511,-1.6,0.0418
348,18787207-Table1,-0.39,-1.51,0.0419
349,16857994-TableS1,-0.441,-1.59,0.0419
350,12917207-Table1,-0.437,-1.47,0.0421
351,17409455-TableS3,-0.656,-1.72,0.043
352,18722011-SuppTable2d,0.665,1.54,0.0431
353,16341039-TableS1,-0.261,-1.33,0.0432
354,17970077-Table3,-0.579,-1.54,0.0432
355,16423883-Table2S,-0.323,-1.42,0.0433
356,15608674-Table2,-0.57,-1.53,0.0437
357,17290060-Table2,0.343,1.43,0.0439
358,18163890-Table1,-0.713,-1.59,0.0439
359,18698033-tableS1-CASP3,0.625,1.57,0.044
360,17430594-table2,-0.354,-1.45,0.044
361,15845616-Table4,-0.377,-1.48,0.0444
362,16204010-SuppTable,-0.383,-1.47,0.0447
363,14683528-Table2a,0.605,1.58,0.0448
364,11823860-SuppTable2,0.406,1.59,0.0449
365,17428335-tableS5d,0.497,1.54,0.0449
366,19520915-Table2,-0.675,-1.55,0.0449
367,15681518-Figure2,0.396,1.44,0.045
368,15679045-Table1,-0.834,-1.52,0.0451
369,15609407-Table1,0.755,1.46,0.0453
370,15260889-TableS2b,-0.421,-1.53,0.0465
371,19171046-tableS1a,-0.356,-1.46,0.0466
372,19269367-TableS1,-0.349,-1.46,0.0467
373,19303107-Table2,-0.605,-1.61,0.0468
374,15812645-Table2a,-0.759,-1.51,0.0469
375,18028764-Table2,-0.456,-1.52,0.047
376,17312329-SuppTable2,-0.319,-1.47,0.0471
377,17284527-Table2,-0.526,-1.6,0.0472
378,18440302-SuppTable1,0.397,1.49,0.0473
379,16849538-Table1a,-0.505,-1.54,0.0473
380,15205470-Table4,-0.541,-1.58,0.0473
381,18698033-tableS1-VEGF,-0.582,-1.58,0.0482
382,19383967-Table2,-0.584,-1.61,0.0482
383,17917972-Table3,-0.441,-1.52,0.0485
384,15846300-SuppTable4,-0.322,-1.39,0.0487
385,20679228-TableS3,-0.622,-1.6,0.0487
386,19755675-TableS6,-0.406,-1.57,0.0488
387,16166251-table1,-0.629,-1.62,0.0488
388,12086872-Table11b,-0.473,-1.51,0.049
389,15897565-Table2,0.472,1.5,0.0491
390,19061838-TableS13,-0.27,-1.35,0.0491
391,15466718-Table6,-0.522,-1.5,0.0491
392,18160667-TableS4,-0.421,-1.56,0.0491
393,15126347-Table4,-0.436,-1.47,0.0492
394,20068100-TableS5,0.313,1.39,0.0498
395,20032505-TableS6,-0.36,-1.5,0.0498
