,GENE.SET,ES,NES,P.VALUE
22,GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP,-0.358,-1.66,0
23,GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_UP,-0.348,-1.68,0
24,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN,-0.355,-1.69,0
25,GSE25088_CTRL_VS_IL4_STIM_MACROPHAGE_DN,-0.392,-1.72,0
26,GSE25087_TREG_VS_TCONV_ADULT_DN,-0.366,-1.73,0
27,GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_3H_IFNG_STIM_DN,-0.398,-1.74,0
28,GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_UP,-0.383,-1.75,0
29,GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP,-0.389,-1.77,0
30,GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP,-0.405,-1.78,0
31,GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN,-0.426,-1.79,0
32,GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN,-0.427,-1.8,0
33,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_UP,-0.415,-1.81,0
34,GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,-0.442,-1.83,0
35,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_UP,-0.413,-1.84,0
36,GSE3039_CD4_TCELL_VS_B2_BCELL_UP,-0.414,-1.84,0
37,GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN,-0.414,-1.86,0
38,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN,-0.424,-1.86,0
39,GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP,-0.428,-1.86,0
40,GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_DN,-0.432,-1.86,0
41,GSE27859_CD11C_INT_F480_HI_MACROPHAGE_VS_CD11C_ING_F480_INT_DC_DN,-0.407,-1.87,0
42,GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_UP,-0.418,-1.87,0
43,GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP,-0.423,-1.87,0
44,GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_UP,-0.435,-1.88,0
45,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP,-0.439,-1.88,0
46,GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP,-0.462,-1.91,0
47,GSE12366_GC_VS_NAIVE_BCELL_DN,-0.51,-1.92,0
48,GSE17974_0H_VS_4H_IN_VITRO_ACT_CD4_TCELL_UP,-0.453,-1.93,0
49,GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP,-0.464,-1.94,0
50,GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP,-0.568,-1.95,0
51,GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_UP,-0.479,-1.96,0
52,GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_UP,-0.467,-1.97,0
53,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP,-0.468,-1.97,0
54,GSE36826_WT_VS_IL1R_KO_SKIN_UP,-0.509,-1.98,0
55,KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN,-0.439,-1.99,0
56,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP,-0.517,-2,0
57,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP,-0.479,-2.06,0
58,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN,-0.605,-2.11,0
59,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_UP,-0.512,-2.12,0
60,GSE24574_BCL6_HIGH_TFH_VS_TFH_CD4_TCELL_DN,-0.515,-2.12,0
61,GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP,-0.54,-2.15,0
62,GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_DN,0.43,1.77,0.00183
63,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP,0.39,1.72,0.00184
64,GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDM_DN,0.373,1.76,0.00185
65,GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN,0.39,1.71,0.00185
66,GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_DN,0.473,1.88,0.00187
67,GSE17721_0.5H_VS_12H_PAM3CSK4_BMDM_DN,0.39,1.71,0.00187
68,GSE27786_NKTCELL_VS_MONO_MAC_UP,0.348,1.61,0.00187
69,GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDM_DN,0.425,1.88,0.00188
70,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN,0.329,1.56,0.0019
71,GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_DN,0.382,1.66,0.00191
72,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN,0.557,1.91,0.00192
73,GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_UP,0.409,1.75,0.00192
74,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_UP,0.41,1.71,0.00192
75,GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN,0.452,1.86,0.00193
76,GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN,0.491,1.82,0.00193
77,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN,0.506,1.92,0.00195
78,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY7_DN,0.45,1.79,0.00195
79,GSE7460_CD8_TCELL_VS_TREG_ACT_DN,0.476,1.83,0.00196
80,GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN,0.442,1.8,0.00197
81,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,0.427,1.8,0.00197
82,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,-0.602,-2.04,0.002
83,GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_UP,-0.437,-1.79,0.00203
84,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP,-0.489,-2.05,0.00204
85,GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP,-0.335,-1.63,0.00206
86,GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP,-0.423,-1.87,0.00208
87,GSE9960_HEALTHY_VS_GRAM_NEG_SEPSIS_PBMC_UP,-0.316,-1.55,0.0021
88,GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP,-0.371,-1.65,0.00212
89,GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,-0.441,-1.73,0.00212
90,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_UP,-0.408,-1.77,0.00213
91,GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP,-0.442,-1.91,0.00214
92,GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP,-0.562,-2.01,0.00214
93,GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP,-0.449,-1.77,0.00215
94,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_UP,-0.525,-2.03,0.00215
95,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP,-0.559,-2.04,0.00215
96,GSE17301_CTRL_VS_48H_IFNA2_STIM_CD8_TCELL_DN,-0.421,-1.76,0.00216
97,GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_UP,-0.478,-1.89,0.00217
98,GSE24574_NAIVE_VS_TCONV_CD4_TCELL_UP,-0.514,-2.02,0.00218
99,GSE28726_ACT_CD4_TCELL_VS_ACT_VA24NEG_NKTCELL_DN,-0.446,-1.86,0.0022
100,GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP,-0.328,-1.59,0.00221
101,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_UP,-0.349,-1.63,0.00221
102,GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN,-0.464,-1.88,0.00221
103,GSE17721_POLYIC_VS_GARDIQUIMOD_2H_BMDM_UP,-0.289,-1.46,0.00222
104,GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP,-0.325,-1.57,0.00223
105,GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP,-0.48,-1.92,0.00224
106,GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN,-0.409,-1.78,0.00225
107,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_DN,-0.445,-1.83,0.00226
108,GSE360_DC_VS_MAC_L_MAJOR_DN,-0.303,-1.49,0.00228
109,GSE3982_NKCELL_VS_TH2_UP,-0.387,-1.73,0.00228
110,GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_DN,-0.33,-1.56,0.00229
111,GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_DN,-0.478,-1.85,0.00231
112,GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP,-0.292,-1.47,0.00235
113,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_UP,-0.382,-1.7,0.00235
114,GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP,-0.32,-1.54,0.00236
115,GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP,-0.352,-1.64,0.00236
116,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_KO_UP,-0.344,-1.67,0.00241
117,GSE22025_UNTREATED_VS_TGFB1_TREATED_CD4_TCELL_DN,-0.355,-1.63,0.00242
118,GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_UP,-0.301,-1.44,0.00258
119,GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP,-0.338,-1.58,0.00258
120,GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP,0.328,1.6,0.00355
121,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP,0.369,1.67,0.0036
122,GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_UP,0.384,1.7,0.00372
123,GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_DN,0.463,1.75,0.00376
124,GSE20198_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_UP,0.388,1.72,0.00377
125,GSE557_CIITA_KO_VS_I_AB_KO_DC_DN,0.376,1.66,0.00377
126,GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN,0.335,1.59,0.00379
127,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP,0.417,1.76,0.00382
128,GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP,0.359,1.63,0.00383
129,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN,0.429,1.76,0.00384
130,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN,0.473,1.87,0.00392
131,GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN,0.441,1.72,0.00402
132,GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP,-0.316,-1.53,0.00405
133,GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP,-0.351,-1.62,0.00412
134,GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN,-0.369,-1.65,0.00417
135,GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_UP,-0.346,-1.6,0.00424
136,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN,-0.489,-1.96,0.00428
137,GSE6269_FLU_VS_E_COLI_INF_PBMC_DN,-0.447,-1.77,0.00429
138,GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP,-0.361,-1.67,0.00431
139,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP,-0.402,-1.74,0.00432
140,GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN,-0.457,-1.9,0.00433
141,GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP,-0.379,-1.6,0.0044
142,GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN,-0.4,-1.76,0.00442
143,GSE23925_DARK_ZONE_VS_NAIVE_BCELL_DN,-0.41,-1.68,0.00443
144,GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_DN,-0.381,-1.69,0.00443
145,GSE17974_0H_VS_24H_IN_VITRO_ACT_CD4_TCELL_UP,-0.434,-1.84,0.00444
146,GSE40274_CTRL_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,-0.445,-1.83,0.00445
147,GSE17974_0H_VS_6H_IN_VITRO_ACT_CD4_TCELL_UP,-0.421,-1.82,0.00448
148,GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP,-0.355,-1.65,0.00449
149,GSE22886_TH1_VS_TH2_12H_ACT_UP,-0.286,-1.43,0.0045
150,GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_UP,-0.389,-1.72,0.00453
151,GSE22025_TGFB1_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,-0.383,-1.68,0.00455
152,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_LYMPHOID_PRIMED_MPP_UP,-0.307,-1.53,0.00458
153,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_DN,-0.322,-1.59,0.00459
154,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP,-0.404,-1.73,0.00459
155,GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DN,-0.33,-1.49,0.00464
156,GSE29164_DAY3_VS_DAY7_CD8_TCELL_TREATED_MELANOMA_UP,-0.331,-1.54,0.00465
157,GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_UP,-0.358,-1.56,0.00465
158,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN,-0.384,-1.69,0.00465
159,GSE2706_R848_VS_LPS_8H_STIM_DC_UP,-0.326,-1.5,0.00505
160,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN,-0.33,-1.51,0.00509
161,GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP,-0.323,-1.52,0.00516
162,GSE22886_NEUTROPHIL_VS_DC_UP,-0.357,-1.59,0.00535
163,GSE6092_UNSTIM_VS_IFNG_STIM_ENDOTHELIAL_CELL_UP,0.377,1.67,0.00544
164,GSE17721_POLYIC_VS_CPG_16H_BMDM_DN,0.332,1.56,0.00546
165,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN,0.403,1.69,0.00552
166,GSE17721_POLYIC_VS_CPG_24H_BMDM_DN,0.377,1.64,0.00554
167,GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN,0.43,1.8,0.00561
168,GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_UP,0.395,1.64,0.00563
169,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_UP,0.38,1.69,0.00566
170,GSE6090_UNSTIM_VS_DC-SIGN_STIM_DC_UP,0.422,1.69,0.00568
171,GSE17721_LPS_VS_CPG_4H_BMDM_DN,0.374,1.62,0.00571
172,GSE20727_CTRL_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN,0.473,1.8,0.00592
173,GSE18893_CTRL_VS_TNF_TREATED_TCONV_2H_DN,0.381,1.65,0.00594
174,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,-0.474,-1.84,0.00608
175,GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP,-0.347,-1.59,0.00615
176,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_24H_UP,-0.436,-1.72,0.00616
177,GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,-0.465,-1.82,0.00636
178,GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP,-0.329,-1.56,0.00637
179,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP,-0.504,-1.98,0.0064
180,GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP,-0.426,-1.79,0.00642
181,GSE2706_2H_VS_8H_R848_STIM_DC_UP,-0.426,-1.78,0.00645
182,GSE20715_0H_VS_48H_OZONE_LUNG_UP,-0.44,-1.84,0.00647
183,GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP,-0.348,-1.66,0.00652
184,GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP,-0.366,-1.64,0.00655
185,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN,-0.485,-1.89,0.00655
186,GSE27859_MACROPHAGE_VS_DC_DN,-0.376,-1.63,0.00667
187,GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP,-0.409,-1.63,0.00668
188,GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_DN,-0.353,-1.63,0.00673
189,GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP,-0.386,-1.67,0.00673
190,GSE17721_POLYIC_VS_GARDIQUIMOD_8H_BMDM_UP,-0.298,-1.48,0.00674
191,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP,-0.357,-1.65,0.00674
192,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP,-0.449,-1.85,0.00676
193,GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_UP,-0.338,-1.58,0.00677
194,GSE22886_CD8_VS_CD4_NAIVE_TCELL_DN,-0.415,-1.71,0.00679
195,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP,-0.355,-1.62,0.00683
196,GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN,-0.415,-1.73,0.00685
197,GSE22886_DC_VS_MONOCYTE_DN,-0.519,-1.88,0.00688
198,GSE24142_DN2_VS_DN3_THYMOCYTE_DN,-0.371,-1.67,0.00694
199,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,0.307,1.48,0.00697
200,GSE12392_CD8A_POS_VS_NEG_SPLEEN_DC_UP,0.319,1.5,0.00698
201,GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_UP,-0.343,-1.55,0.00698
202,GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_DN,-0.357,-1.64,0.00716
203,GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_UP,-0.317,-1.52,0.00723
204,GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP,0.419,1.78,0.00726
205,GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TREG_CD4_TCELL_UP,0.394,1.65,0.00731
206,GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP,0.372,1.66,0.00735
207,GSE3982_MAST_CELL_VS_NEUTROPHIL_UP,0.351,1.6,0.00735
208,GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_UP,0.404,1.69,0.00737
209,GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_UP,-0.328,-1.51,0.00741
210,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,0.396,1.68,0.00746
211,GSE17721_LPS_VS_POLYIC_12H_BMDM_UP,0.315,1.52,0.00748
212,GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_DN,0.391,1.65,0.00749
213,GSE17721_CTRL_VS_PAM3CSK4_1H_BMDM_UP,0.344,1.59,0.00759
214,GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_DN,-0.326,-1.5,0.0076
215,GSE19374_UNINF_VS_LISTERIA_INFECTED_MACROPHAGE_UP,-0.302,-1.49,0.00771
216,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_UP,-0.327,-1.54,0.00787
217,GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,0.435,1.73,0.00798
218,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP,-0.39,-1.73,0.00832
219,GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,-0.492,-1.85,0.0084
220,GSE32986_UNSTIM_VS_GMCSF_STIM_DC_UP,-0.383,-1.65,0.00846
221,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN,-0.344,-1.57,0.00851
222,GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP,-0.359,-1.64,0.00851
223,GSE17721_CTRL_VS_PAM3CSK4_6H_BMDM_DN,0.356,1.58,0.00853
224,GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_DN,-0.329,-1.49,0.00862
225,GSE24574_BCL6_HIGH_TFH_VS_NAIVE_CD4_TCELL_UP,-0.395,-1.69,0.00862
226,GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_DN,-0.381,-1.62,0.0087
227,GSE3982_MEMORY_CD4_TCELL_VS_TH2_UP,-0.395,-1.68,0.0087
228,GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_DN,0.425,1.7,0.00874
229,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN,0.354,1.61,0.00877
230,GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,-0.403,-1.64,0.00877
231,GSE32034_LY6C_HIGH_VS_LOW_ROSIGLIZATONE_TREATED_MONOCYTE_UP,-0.346,-1.57,0.00881
232,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,-0.368,-1.59,0.00883
233,GSE12366_GC_VS_MEMORY_BCELL_DN,-0.393,-1.65,0.00885
234,GSE11924_TFH_VS_TH1_CD4_TCELL_DN,0.349,1.57,0.00891
235,GSE3982_DC_VS_NEUTROPHIL_UP,0.341,1.61,0.00893
236,GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP,-0.365,-1.6,0.00893
237,GSE21033_CTRL_VS_POLYIC_STIM_DC_12H_DN,0.344,1.56,0.00894
238,GSE27786_LSK_VS_LIN_NEG_CELL_UP,-0.309,-1.52,0.00895
239,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP,-0.314,-1.49,0.00897
240,GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN,0.384,1.64,0.00899
241,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN,0.397,1.7,0.00904
242,GSE40274_CTRL_VS_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,-0.399,-1.69,0.00905
243,GSE11924_TFH_VS_TH2_CD4_TCELL_DN,0.377,1.62,0.00907
244,GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP,-0.411,-1.73,0.00915
245,GSE3982_MAST_CELL_VS_NKCELL_DN,-0.426,-1.76,0.00915
246,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_48H_DN,0.394,1.65,0.00917
247,GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN,0.367,1.61,0.00919
