Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
11	M2654	CYCLIN_D1_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) over-expressing CCND1 [Gene ID=595] gene.	12914697	167/188	Pablo Tamayo	1e-04	0.000104347826086957	0.786333342841831	1	81.2328889223532
12	M2655	CSR_EARLY_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_DN.html	Genes down-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	130/154	Pablo Tamayo	1e-04	0.000104347826086957	0.553177137102357	1	45.2900533031253
13	M2656	CSR_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_UP.html	Genes up-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	148/164	Pablo Tamayo	1e-04	0.000104347826086957	0.480491298987503	-1	34.0849681846652
14	M2659	CSR_LATE_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_DN.html	Genes down-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	152/170	Pablo Tamayo	1e-04	0.000104347826086957	0.7119876963157	1	69.7719314770266
15	M2660	CSR_LATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_UP.html	Genes up-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	153/172	Pablo Tamayo	1e-04	0.000104347826086957	0.521164506697462	-1	40.355058290949
16	M2673	PIGF_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_DN.html	Genes down-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	160/194	Pablo Tamayo	1e-04	0.000104347826086957	0.732775357613199	1	72.9765105297457
17	M2674	PIGF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	181/191	Pablo Tamayo	1e-04	0.000104347826086957	0.610990805548013	-1	54.202478236857
18	M2675	VEGF_A_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_DN.html	Genes down-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	184/193	Pablo Tamayo	1e-04	0.000104347826086957	0.635730065900543	-1	58.0162269010716
19	M2676	VEGF_A_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	176/196	Pablo Tamayo	1e-04	0.000104347826086957	0.767795369805602	1	78.3751167457921
20	M2677	BCAT_GDS748_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_GDS748_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	41/47	Pablo Tamayo	1e-04	0.000104347826086957	0.610438972353356	-1	54.1174088742728
21	M2678	BCAT_GDS748_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_GDS748_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	44/48	Pablo Tamayo	1e-04	0.000104347826086957	0.599106474059533	1	52.3704164575872
22	M2680	BCAT.100_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT.100_UP.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	44/49	Pablo Tamayo	1e-04	0.000104347826086957	0.84995723069844	1	91.0410041961177
23	M2681	ATF2_S_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_S_UP.V1_DN.html	Genes down-regulated in myometrial cells over-expressing a shortened splice form of ATF2 [Gene ID=1386] gene.	15691874	171/187	Pablo Tamayo	1e-04	0.000104347826086957	0.716867099908626	1	70.5241293467087
24	M2682	ATF2_S_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_S_UP.V1_UP.html	Genes up-regulated in myometrial cells over-expressing a shortened splice form of ATF2 [Gene ID=1386] gene.	15691874	163/193	Pablo Tamayo	1e-04	0.000104347826086957	0.72481064981361	1	71.7486891115344
25	M2684	ATF2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_UP.V1_DN.html	Genes down-regulated in myometrial cells over-expressing ATF2 [Gene ID=1386] gene.	15691874	173/187	Pablo Tamayo	1e-04	0.000104347826086957	0.705737903146771	1	68.8084774363651
26	M2686	ATF2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_UP.V1_UP.html	Genes up-regulated in myometrial cells over-expressing ATF2 [Gene ID=1386] gene.	15691874	161/192	Pablo Tamayo	1e-04	0.000104347826086957	0.826508363932181	1	87.4261797012527
27	M2691	ATM_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	119/149	Pablo Tamayo	1e-04	0.000104347826086957	0.821037348313303	1	86.5827802539341
28	M2692	ATM_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	125/146	Pablo Tamayo	1e-04	0.000104347826086957	0.849311183512941	1	90.941411016871
29	M2693	P53_DN.V2_DN	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	130/145	Pablo Tamayo	1e-04	0.000104347826086957	0.762444857604653	1	77.5502938340129
30	M2694	P53_DN.V2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	123/148	Pablo Tamayo	1e-04	0.000104347826086957	0.834338840043532	1	88.6333082646891
31	M2695	RELA_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	113/141	Pablo Tamayo	1e-04	0.000104347826086957	0.888678332747999	1	97.0101620898508
32	M2696	RELA_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	132/149	Pablo Tamayo	1e-04	0.000104347826086957	0.808488373200271	1	84.6482585102517
33	M2697	P53_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V1_DN.html	Genes down-regulated in NCI-60 panel of cell lines with mutated TP53 [Gene ID=7157].	16199517	180/192	Pablo Tamayo	1e-04	0.000104347826086957	0.793289499352378	1	82.3052343450592
34	M2698	P53_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V1_UP.html	Genes up-regulated in NCI-60 panel of cell lines with mutated TP53 [Gene ID=7157].	16199517	184/194	Pablo Tamayo	1e-04	0.000104347826086957	0.640623315723678	1	58.7705592744216
35	M2703	BCAT_BILD_ET_AL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_BILD_ET_AL_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing activated CTNNB1 [Gene ID=1499] gene.	16273092	42/49	Pablo Tamayo	1e-04	0.000104347826086957	0.538629384676121	1	43.0474045499984
36	M2704	E2F3_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/E2F3_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing E2F3 [Gene ID=1871] gene.	16273092	124/183	Pablo Tamayo	1e-04	0.000104347826086957	0.610030604839741	1	54.0544558579997
37	M2706	E2F3_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/E2F3_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing E2F3 [Gene ID=1871] gene.	16273092	170/196	Pablo Tamayo	1e-04	0.000104347826086957	0.659291559448035	1	61.6484136869008
38	M2708	MYC_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MYC_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing MYC [Gene ID=4609] gene.	16273092	146/182	Pablo Tamayo	1e-04	0.000104347826086957	0.70509659633282	1	68.7096150221213
39	M2711	MYC_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MYC_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing MYC [Gene ID=4609] gene.	16273092	154/186	Pablo Tamayo	1e-04	0.000104347826086957	0.640379873979022	1	58.7330308432857
40	M2713	SRC_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SRC_UP.V1_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing SRC [Gene ID=6714] gene.	16273092	149/179	Pablo Tamayo	1e-04	0.000104347826086957	0.62923725986075	1	57.015310543492
41	M2714	SRC_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SRC_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing SRC [Gene ID=6714] gene.	16273092	129/188	Pablo Tamayo	1e-04	0.000104347826086957	0.844938003750924	1	90.2672514729679
42	M2719	CAMP_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CAMP_UP.V1_DN.html	Genes down-regulated in primary thyrocyte cultures in response to cAMP signaling pathway activation by thyrotropin (TSH).	16381821	190/200	Pablo Tamayo	1e-04	0.000104347826086957	0.490781838864552	1	35.6713346382657
43	M2720	CAMP_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CAMP_UP.V1_UP.html	Genes up-regulated in primary thyrocyte cultures in response to cAMP signaling pathway activation by thyrotropin (TSH).	16381821	187/200	Pablo Tamayo	1e-04	0.000104347826086957	0.464478915649489	1	31.6165352284633
44	M2721	LTE2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	186/196	Pablo Tamayo	1e-04	0.000104347826086957	0.635686131709079	-1	58.0094541050534
45	M2723	LTE2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	178/190	Pablo Tamayo	1e-04	0.000104347826086957	0.534554734404277	1	42.419265640025
46	M2724	MEK_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	182/196	Pablo Tamayo	1e-04	0.000104347826086957	0.667082660611316	-1	62.8494722970135
47	M2725	MEK_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	187/196	Pablo Tamayo	1e-04	0.000104347826086957	0.612860704690761	1	54.4907376777721
48	M2726	RAF_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RAF_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active RAF1 [Gene ID=5894] gene.	16585219	182/194	Pablo Tamayo	1e-04	0.000104347826086957	0.628273532113107	-1	56.8667444441883
49	M2728	RAF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RAF_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active RAF1 [Gene ID=5894] gene.	16585219	185/196	Pablo Tamayo	1e-04	0.000104347826086957	0.500153296682174	1	37.1160174713175
50	M2730	PRC1_BMI_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	156/192	Pablo Tamayo	1e-04	0.000104347826086957	0.81392944545096	1	85.4870419553614
51	M2732	PRC1_BMI_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	154/190	Pablo Tamayo	1e-04	0.000104347826086957	0.779751259055954	1	80.218209708487
52	M2734	PRC2_EDD_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EDD_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of EED [Gene ID=8726] gene.	16618801	162/194	Pablo Tamayo	1e-04	0.000104347826086957	0.656488962067296	1	61.2163715860128
53	M2736	PRC2_EDD_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EDD_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of EED [Gene ID=8726] gene.	16618801	184/193	Pablo Tamayo	1e-04	0.000104347826086957	0.616557160939533	1	55.060575048825
54	M2737	PRC2_EZH2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EZH2_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of EZH2 [Gene ID=2146] gene.	16618801	178/194	Pablo Tamayo	1e-04	0.000104347826086957	0.604506741657778	1	53.2029095493665
55	M2739	PRC2_EZH2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EZH2_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of EZH2 [Gene ID=2146] gene.	16618801	176/195	Pablo Tamayo	1e-04	0.000104347826086957	0.667774106112387	1	62.9560639783536
56	M2740	PRC2_SUZ12_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	162/191	Pablo Tamayo	1e-04	0.000104347826086957	0.694266521002394	1	67.0400749980383
57	M2741	PRC2_SUZ12_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	151/194	Pablo Tamayo	1e-04	0.000104347826086957	0.758121596961955	1	76.8838297091284
58	M2745	JNK_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/JNK_DN.V1_DN.html	Genes down-regulated in JNK inhibitor-treated (SP600125[PubChem=8515]) keratinocytes.	16648634	158/191	Pablo Tamayo	1e-04	0.000104347826086957	0.750543680049737	1	75.715635103078
59	M2746	JNK_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/JNK_DN.V1_UP.html	Genes up-regulated in JNK inhibitor-treated (SP600125[PubChem=8515]) keratinocytes.	16648634	159/192	Pablo Tamayo	1e-04	0.000104347826086957	0.696079957456279	1	67.3196302779898
60	M2747	BRCA1_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	115/143	Pablo Tamayo	1e-04	0.000104347826086957	0.792128894996372	1	82.1263181911676
61	M2748	BRCA1_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	93/141	Pablo Tamayo	1e-04	0.000104347826086957	0.75842985504414	1	76.9313500808943
62	M2751	CTIP_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	110/141	Pablo Tamayo	1e-04	0.000104347826086957	0.682178337494334	1	65.1765878504959
63	M2752	CTIP_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	102/138	Pablo Tamayo	1e-04	0.000104347826086957	0.794423376119217	1	82.4800302339944
64	M2756	MTOR_UP.N4.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_DN.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	166/193	Pablo Tamayo	1e-04	0.000104347826086957	0.564727185772489	1	47.0705827959089
65	M2757	MTOR_UP.N4.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_UP.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	189/196	Pablo Tamayo	1e-04	0.000104347826086957	0.48173039173602	-1	34.2759839323939
66	M2758	PTEN_DN.V2_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V2_DN.html	Genes up-regulated in HCT116 cells (colon carcinoma) upon knockdown of PTEN [Gene ID=5728] by RNAi.	17060456	118/144	Pablo Tamayo	1e-04	0.000104347826086957	0.727668737339503	1	72.1892854482381
67	M2759	PTEN_DN.V2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V2_UP.html	Genes up-regulated in HCT116 cells (colon carcinoma) upon knockdown of PTEN [Gene ID=5728] by RNAi.	17060456	117/143	Pablo Tamayo	1e-04	0.000104347826086957	0.758079803489971	1	76.8773869216044
68	M2760	DCA_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/DCA_UP.V1_DN.html	Genes down-regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].	17222789	156/193	Pablo Tamayo	1e-04	0.000104347826086957	0.667267599888526	1	62.8779821195131
69	M2762	DCA_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DCA_UP.V1_UP.html	Genes up-regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].	17222789	150/191	Pablo Tamayo	1e-04	0.000104347826086957	0.747728642453679	1	75.2816752466112
70	M2773	ALK_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ALK_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [Gene ID=238] gene by RNAi.	17452456	112/148	Pablo Tamayo	1e-04	0.000104347826086957	0.726032167490794	1	71.9369955258447
71	M2774	ALK_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ALK_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [Gene ID=238] gene by RNAi.	17452456	119/145	Pablo Tamayo	1e-04	0.000104347826086957	0.816476792815252	1	85.879735288526
72	M2775	BMI1_DN_MEL18_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN_MEL18_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 and PCGF2 [Gene ID=648, 7703] genes by RNAi.	17452456	133/147	Pablo Tamayo	1e-04	0.000104347826086957	0.84535049243417	1	90.3308397994707
73	M2781	BMI1_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [Gene ID=648] gene by RNAi.	17452456	132/144	Pablo Tamayo	1e-04	0.000104347826086957	0.745452615880493	1	74.930808115601
74	M2782	BMI1_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BMI1_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [Gene ID=648] gene by RNAi.	17452456	133/147	Pablo Tamayo	1e-04	0.000104347826086957	0.586512505747304	1	50.4289586636394
75	M2783	MEL18_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEL18_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [Gene ID=7703] gene by RNAi.	17452456	136/148	Pablo Tamayo	1e-04	0.000104347826086957	0.763777973677136	1	77.755804005628
76	M2784	MEL18_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MEL18_DN.V1_UP.html	Genes up-regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [Gene ID=7703] gene by RNAi.	17452456	133/141	Pablo Tamayo	1e-04	0.000104347826086957	0.640271562612678	1	58.7163338069626
77	M2786	PTEN_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_DN.html	Genes down-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	148/187	Pablo Tamayo	1e-04	0.000104347826086957	0.782388970311191	1	80.624833335584
78	M2787	PTEN_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_UP.html	Genes up-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	154/191	Pablo Tamayo	1e-04	0.000104347826086957	0.817727849309371	1	86.0725953403349
79	M2788	NOTCH_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/NOTCH_DN.V1_DN.html	Genes down-regulated in MOLT4 cells (T-ALL) by DAPT [PubChem=16219261], an inhibitor of NOTCH signaling pathway.	17560996	154/189	Pablo Tamayo	1e-04	0.000104347826086957	0.836510677877357	1	88.9681138942679
80	M2789	NOTCH_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/NOTCH_DN.V1_UP.html	Genes up-regulated in MOLT4 cells (T-ALL) by DAPT [PubChem=16219261], an inhibitor of NOTCH signaling pathway.	17560996	162/193	Pablo Tamayo	1e-04	0.000104347826086957	0.667815555034197	1	62.9624536507986
81	M2790	EIF4E_DN	http://www.broadinstitute.org/gsea/msigdb/cards/EIF4E_DN.html	Genes down-regulated in HMEC cells (primary mammary epithelium) upon over-expression of EIF4E [Gene ID=1977] gene.	17638893	95/100	Pablo Tamayo	1e-04	0.000104347826086957	0.633552631656686	-1	57.6805585415252
82	M2791	EIF4E_UP	http://www.broadinstitute.org/gsea/msigdb/cards/EIF4E_UP.html	Genes up-regulated in HMEC cells (primary mammary epithelium) upon over-expression of EIF4E [Gene ID=1977] gene.	17638893	85/100	Pablo Tamayo	1e-04	0.000104347826086957	0.46805237033158	1	32.1674109549909
83	M2812	RPS14_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RPS14_DN.V1_DN.html	Genes down-regulated in CD34+ hematopoietic progenitor cells after knockdown of RPS14 [Gene ID=6208] by RNAi.	18202658	178/187	Pablo Tamayo	1e-04	0.000104347826086957	0.64704979677754	-1	59.7612511215311
