Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
11	M3094	GSE10325_BCELL_VS_LUPUS_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_BCELL_VS_LUPUS_BCELL_UP.html	Genes up-regulated in comparison of healthy B cells versus systemic lupus erythematosus B cells.	18275831	166/199	Jernej Godec	1e-04	0.000108004268943437	0.722772898801512	1	79.6076442111241
12	M3096	GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_MYELOID_VS_LUPUS_MYELOID_UP.html	Genes up-regulated in comparison of healthy myeloid cells versus systemic lupus erythematosus myeloid cells.	18275831	169/200	Jernej Godec	1e-04	0.000108004268943437	0.765462307417396	1	85.7191064111707
13	M3098	GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP.html	Genes up-regulated in comparison of dendritic cells activated in the absense of VAF347 [PubChem=10172275] versus those activated in the presence of VAF347 [PubChem=10172275].	18270326	168/200	Jernej Godec	1e-04	0.000108004268943437	0.532930731841771	-1	52.4296329674241
14	M3099	GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN.html	Genes down-regulated in comparison of dendritic cells activated in the absense of VAF347 [PubChem=10172275] versus those activated in the presence of VAF347 [PubChem=10172275].	18270326	135/200	Jernej Godec	1e-04	0.000108004268943437	0.706018764414509	1	77.2091040972988
15	M3100	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP.html	Genes up-regulated in comparison of macrophages treated with control (hIgG1) versus those treated with TNFRSF6B [GeneID=8771].	18349319	167/199	Jernej Godec	1e-04	0.000108004268943437	0.595312131110263	1	61.3602219818043
16	M3101	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN.html	Genes down-regulated in comparison of macrophages treated with control (hIgG1) versus those treated with TNFRSF6B [GeneID=8771].	18349319	158/200	Jernej Godec	1e-04	0.000108004268943437	0.530959597326103	-1	52.1474432048039
17	M3104	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus effector memory T cells.	19568420	170/200	Jernej Godec	1e-04	0.000108004268943437	0.582515673932272	1	59.5282672447057
18	M3105	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus effector memory T cells.	19568420	181/200	Jernej Godec	1e-04	0.000108004268943437	0.621555762136675	1	65.117288762772
19	M3106	GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus central memory T cells.	19568420	156/200	Jernej Godec	1e-04	0.000108004268943437	0.600401454965123	1	62.0888151240199
20	M3107	GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus central memory T cells.	19568420	188/200	Jernej Godec	1e-04	0.000108004268943437	0.573455144440231	1	58.2311519812627
21	M3108	GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus peripheral blood mononuclear cells (PBMC).	19568420	173/200	Jernej Godec	1e-04	0.000108004268943437	0.571269678253835	1	57.9182782633853
22	M3110	GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus peripheral blood mononuclear cells (PBMC).	19568420	191/200	Jernej Godec	1e-04	0.000108004268943437	0.528215652551595	1	51.7546170844115
23	M3111	GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP.html	Genes up-regulated in comparison of effector memory T cells versus central memory T cells from peripheral blood mononuclear cells (PBMC).	19568420	176/200	Jernej Godec	1e-04	0.000108004268943437	0.58582288957475	1	60.0017318356133
24	M3112	GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN.html	Genes down-regulated in comparison of effector memory T cells versus central memory T cells from peripheral blood mononuclear cells (PBMC).	19568420	160/199	Jernej Godec	1e-04	0.000108004268943437	0.632076917708399	1	66.6235088455087
25	M3113	GSE11057_CD4_EFF_MEM_VS_PBMC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_CD4_EFF_MEM_VS_PBMC_UP.html	Genes up-regulated in comparison of effector memory T cells versus peripheral blood mononuclear cells (PBMC).	19568420	186/200	Jernej Godec	1e-04	0.000108004268943437	0.638553972552477	1	67.5507710665291
26	M3114	GSE11057_CD4_EFF_MEM_VS_PBMC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_CD4_EFF_MEM_VS_PBMC_DN.html	Genes down-regulated in comarison of effector memory T cells versus peripheral blood mononuclear cells (PBMC).	19568420	188/200	Jernej Godec	1e-04	0.000108004268943437	0.536227367049061	1	52.9015828517145
27	M3116	GSE11057_CD4_CENT_MEM_VS_PBMC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_CD4_CENT_MEM_VS_PBMC_UP.html	Genes up-regulated in comparison of central memory T cells versus peripheral blood mononuclear cells (PBMC).	19568420	185/200	Jernej Godec	1e-04	0.000108004268943437	0.620535036594787	1	64.9711605832509
28	M3117	GSE11057_CD4_CENT_MEM_VS_PBMC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_CD4_CENT_MEM_VS_PBMC_DN.html	Genes down-regulated in comparison of central memory T cells versus peripheral blood mononuclear cells (PBMC).	19568420	183/199	Jernej Godec	1e-04	0.000108004268943437	0.581234703416429	1	59.344882111466
29	M3118	GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus memory T cells.	19568420	159/200	Jernej Godec	1e-04	0.000108004268943437	0.577396649046077	1	58.795422070518
30	M3119	GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus memory T cells.	19568420	187/200	Jernej Godec	1e-04	0.000108004268943437	0.555439173567286	-1	55.6519659827438
31	M3120	GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_PBMC_VS_MEM_CD4_TCELL_UP.html	Genes up-regulated in comparison of peripheral mononuclear blood cells (PBMC) versus memory T cells.	19568420	184/200	Jernej Godec	1e-04	0.000108004268943437	0.659162972430211	1	70.5011779195927
32	M3121	GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_PBMC_VS_MEM_CD4_TCELL_DN.html	Genes down-regulated in comparison of peripheral mononuclear blood cells (PBMC) versus memory T cells.	19568420	180/200	Jernej Godec	1e-04	0.000108004268943437	0.703464583022869	1	76.843444709334
33	M3122	GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP.html	Genes up-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435].	18976936	178/200	Jernej Godec	1e-04	0.000108004268943437	0.569286128241177	1	57.6343110847032
34	M3123	GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN.html	Genes down-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435].	18976936	173/200	Jernej Godec	1e-04	0.000108004268943437	0.441451530968821	-1	39.333371005681
35	M3124	GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP.html	Genes up-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458].	18976936	173/200	Jernej Godec	1e-04	0.000108004268943437	0.546224736482115	1	54.3328171407573
36	M3127	GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN.html	Genes down-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458].	18976936	178/200	Jernej Godec	1e-04	0.000108004268943437	0.424726746616547	-1	36.9390326747719
37	M3129	GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435] and Pam3Cys (TLR2 agonist).	18976936	175/200	Jernej Godec	1e-04	0.000108004268943437	0.535110835839688	1	52.7417390285627
38	M3130	GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN.html	Genes down-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435] and Pam3Cys (TLR2 agonist).	18976936	165/200	Jernej Godec	1e-04	0.000108004268943437	0.481852491363311	-1	45.1172164676357
39	M3131	GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of untreated macrophages versus those cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cys (TLR2 agonist).	18976936	169/200	Jernej Godec	1e-04	0.000108004268943437	0.456707185295629	-1	41.5173870831625
40	M3133	GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] versus macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458].	18976936	170/200	Jernej Godec	1e-04	0.000108004268943437	0.492243160654061	1	46.6047559923686
41	M3135	GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN.html	Genes down-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] versus macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458].	18976936	172/200	Jernej Godec	1e-04	0.000108004268943437	0.417114854778014	1	35.8493059544835
42	M3136	GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] versus macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc.	18976936	178/200	Jernej Godec	1e-04	0.000108004268943437	0.458253753953716	-1	41.7387955355194
43	M3137	GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN.html	Genes down-regulated in comparison of macrophages cultured with M-CSF[GeneID=1435] versus macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc.	18976936	162/200	Jernej Godec	1e-04	0.000108004268943437	0.479034449628499	-1	44.7137825457601
44	M3138	GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] versus macrophages cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cyc.	18976936	179/200	Jernej Godec	1e-04	0.000108004268943437	0.484346852333122	-1	45.4743118989037
45	M3142	GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458] versus macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc.	18976936	185/200	Jernej Godec	1e-04	0.000108004268943437	0.517369045335159	1	50.2018049900005
46	M3143	GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN.html	Genes down-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458] versus macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc.	18976936	169/200	Jernej Godec	1e-04	0.000108004268943437	0.49933925441573	1	47.6206404985852
47	M3144	GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458] versus macrophages cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cys (TLR2 agonist).	18976936	179/200	Jernej Godec	1e-04	0.000108004268943437	0.444773014975693	1	39.8088782711648
48	M3145	GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN.html	Genes down-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and IFNG [GeneID=3458] versus macrophages cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cys (TLR2 agonist).	18976936	173/200	Jernej Godec	1e-04	0.000108004268943437	0.540968566354107	1	53.5803381044845
49	M3148	GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP.html	Genes up-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc versus macrophages cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cyc.	18976936	164/200	Jernej Godec	1e-04	0.000108004268943437	0.500050113411934	1	47.7224078461715
50	M3149	GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN.html	Genes down-regulated in comparison of macrophages cultured with M-CSF [GeneID=1435] and Pam3Cyc versus macrophages cultured with M-CSF [GeneID=1435], IFNG [GeneID=3458] and Pam3Cyc.	18976936	171/200	Jernej Godec	1e-04	0.000108004268943437	0.508296928792058	1	48.9030309117166
51	M3166	GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_BCELL_VS_PLASMA_CELL_UP.html	Genes up-regulated in comparison of germinal center B cells versus plasma cells.	19023113	178/200	Jernej Godec	1e-04	0.000108004268943437	0.512628475236204	-1	49.5231398150593
52	M3167	GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_BCELL_VS_PLASMA_CELL_DN.html	Genes down-regulated in comparison of germinal center B cells versus plasma cells.	19023113	168/200	Jernej Godec	1e-04	0.000108004268943437	0.620201611984474	1	64.9234271531434
53	M3168	GSE12366_GC_VS_NAIVE_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_VS_NAIVE_BCELL_UP.html	Genes up-regulated in comparison of germinal center B cells versus naive B cells.	19023113	178/200	Jernej Godec	1e-04	0.000108004268943437	0.485842428028146	-1	45.6884201431685
54	M3170	GSE12366_GC_VS_NAIVE_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_VS_NAIVE_BCELL_DN.html	Genes down-regulated in comparison of germinal center B cells versus naive B cells.	19023113	183/200	Jernej Godec	1e-04	0.000108004268943437	0.652013604518758	1	69.4776666281101
55	M3171	GSE12366_GC_VS_MEMORY_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_VS_MEMORY_BCELL_UP.html	Genes up-regulated in comparison of germinal center B cells versus memory B cells.	19023113	176/200	Jernej Godec	1e-04	0.000108004268943437	0.542133700737441	-1	53.7471400109197
56	M3173	GSE12366_GC_VS_MEMORY_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_VS_MEMORY_BCELL_DN.html	Genes down-regulated in comparison of germinal center B cells versus memory B cells.	19023113	183/200	Jernej Godec	1e-04	0.000108004268943437	0.622015710650274	1	65.1831354925807
57	M3174	GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP.html	Genes up-regulated in plasma cells versus naive B cells.	19023113	162/200	Jernej Godec	1e-04	0.000108004268943437	0.608203773695453	1	63.2058035653961
58	M3175	GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN.html	Genes down-regulated in plasma cells versus naive B cells.	19023113	185/200	Jernej Godec	1e-04	0.000108004268943437	0.595618835269684	1	61.4041300830799
59	M3176	GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP.html	Genes up-regulated in plasma cells versus memory B cells.	19023113	164/200	Jernej Godec	1e-04	0.000108004268943437	0.594885142078246	1	61.2990937672516
60	M3177	GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN.html	Genes down-regulated in plasma cells versus memory B cells.	19023113	182/200	Jernej Godec	1e-04	0.000108004268943437	0.535166741916898	-1	52.7497426034235
61	M3178	GSE12366_NAIVE_VS_MEMORY_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_NAIVE_VS_MEMORY_BCELL_UP.html	Genes up-regulated in comparison of naive B cells versus memory B cells.	19023113	163/200	Jernej Godec	1e-04	0.000108004268943437	0.724007649218923	1	79.7844124247668
62	M3181	GSE12366_NAIVE_VS_MEMORY_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_NAIVE_VS_MEMORY_BCELL_DN.html	Genes down-regulated in comparison of naive B cells versus memory B cells.	19023113	177/200	Jernej Godec	1e-04	0.000108004268943437	0.568717456078597	1	57.5528993589729
63	M3182	GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP.html	Genes up-regulated in comparison of IgD+ B cells versus IgD- B cells.	19023113	177/200	Jernej Godec	1e-04	0.000108004268943437	0.695837744882872	1	75.7515782602606
64	M3183	GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN.html	Genes down-regulated in comparison of IgD+ B cells versus IgD- B cells.	19023113	179/200	Jernej Godec	1e-04	0.000108004268943437	0.410729464260619	-1	34.9351664982373
65	M3184	GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP.html	Genes up-regulated in comparison of IgD+ peripheral blood B cells versus IgD- naive tonsil B cells.	19023113	182/200	Jernej Godec	1e-04	0.000108004268943437	0.599735641333821	1	61.9934965198999
66	M3186	GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN.html	Genes down-regulated in comparison of IgD+ peripheral blood B cells versus IgD- naive tonsil B cells.	19023113	188/200	Jernej Godec	1e-04	0.000108004268943437	0.588193968523955	-1	60.341178078633
67	M3187	GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP.html	Genes up-regulated in comparison of IgD+ B cells from peripheral blood versus CD19 pre-germinal center tonsil B cell	19023113	189/200	Jernej Godec	1e-04	0.000108004268943437	0.57021110071559	1	57.7667311508682
68	M3189	GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP.html	Genes up-regulated in comparison of IgD+ peripheral blood B cells versus dark zone germincal center B cells.	19023113	182/200	Jernej Godec	1e-04	0.000108004268943437	0.649090168341676	1	69.0591443231692
69	M3191	GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN.html	Genes down-regulated in comparison of IgD+ peripheral blood B cells versus dark zone germincal center B cells.	19023113	185/200	Jernej Godec	1e-04	0.000108004268943437	0.436136207840956	-1	38.5724235615674
