ID	GeneSet	BroadUrl	Description	PubMedID	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logFC	Direction	Significance	ssgsea	gsva
M2860	KRAS.AMP.LUNG_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.AMP.LUNG_UP.V1_UP.html	Genes up-regulated in epithelial lung cancer cell lines over-expressing KRAS [Gene ID=3845] gene.	19847166	Pablo Tamayo	1.20920500390152e-94	8.70627602809095e-94	20	34	34	1.03005439750351e-91	18	0.673736176907382	1	73.7759049149922	18	50
M2869	TBK1.DN.48HRS_UP	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DN.48HRS_UP.html	Genes up-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	19847166	Pablo Tamayo	7.55524155582545e-98	8.36888295414511e-97	5	34	34	9.71422396358867e-96	3	0.549556064923354	-1	61.9061265632631	3	65
M2692	ATM_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	Pablo Tamayo	5.07234764780608e-94	3.3200820967458e-93	25	34.5	34.5	2.14666301740315e-90	23	0.849311183512941	1	92.7775369843094	23	46
M2741	PRC2_SUZ12_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	Pablo Tamayo	1.22442435641569e-85	4.00720698463316e-85	55	36	36	2.33617313666713e-79	17	0.758121596961955	1	75.3172386545666	55	17
M2818	IL15_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/IL15_UP.V1_DN.html	Genes down-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL15 [Gene ID=3600].	18281483	Pablo Tamayo	5.37330951324942e-77	1.22818503159987e-76	80	40.5	40.5	8.07349917540393e-68	4	0.712182445910496	1	63.4200061027452	77	4
M2902	KRAS.PROSTATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.PROSTATE_UP.V1_UP.html	Genes up-regulated in epithelial prostate cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	1.94234791830058e-86	6.99245250588209e-86	50	41	41	9.01339731746589e-82	36	0.80147561827413	1	80.4337784255839	46	36
M2674	PIGF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	Pablo Tamayo	8.57281217056295e-94	5.36732588070028e-93	20	42	42	9.77792856027354e-92	17	0.610990805548013	-1	66.1949145697124	17	67
M2655	CSR_EARLY_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_DN.html	Genes down-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	1.43680241706822e-81	3.69463478674685e-81	65	42.5	42.5	6.45036659839617e-76	23	0.553177137102357	1	51.9450117645002	62	23
M2732	PRC1_BMI_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_UP.html	Genes up-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	Pablo Tamayo	4.77005572261518e-87	1.80760006330681e-86	45	43	43	2.43086900924262e-83	42	0.779751259055954	1	78.7647136756479	42	44
M2695	RELA_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RELA_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of RELA [Gene ID=5970] gene by RNAi.	15892871	Pablo Tamayo	1.62207305381532e-89	7.29932874216894e-89	35	44.5	44.5	4.10746687547588e-87	33	0.888678332747999	1	92.5159544389441	33	56
M2848	HOXA9_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/HOXA9_DN.V1_DN.html	Genes down-regulated in MOLM-14 cells (AML) with knockdown of HOXA9 [Gene ID=3205] gene by RNAi vs controls.	19056693	Pablo Tamayo	3.9812801765543e-92	2.29321738169528e-91	30	44.5	44.5	5.94347300922036e-90	27	0.605103609731653	-1	64.3602086766618	27	62
M2788	NOTCH_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/NOTCH_DN.V1_DN.html	Genes down-regulated in MOLT4 cells (T-ALL) by DAPT [PubChem=16219261], an inhibitor of NOTCH signaling pathway.	17560996	Pablo Tamayo	3.15310103098978e-70	5.97429669029642e-70	85	45.5	45.5	4.45555194941628e-63	10	0.836510677877357	1	68.0298099664523	81	10
M2786	PTEN_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_DN.html	Genes down-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	Pablo Tamayo	3.68963714207174e-86	1.29587255721544e-85	45	46	46	6.14183347989046e-83	43	0.782388970311191	1	78.2333054330797	43	49
M2820	IL2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/IL2_UP.V1_DN.html	Genes down-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL2 [Gene ID=3558].	18281483	Pablo Tamayo	1.59051456735187e-72	3.13745339313246e-72	80	47	47	5.25314300327548e-66	15	0.607258064507239	1	50.659054327533	79	15
M2691	ATM_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ATM_DN.V1_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of ATM [Gene ID=472] gene by RNAi.	15892871	Pablo Tamayo	5.61842606776216e-85	1.79789634168389e-84	50	47.5	47.5	1.5455430213743e-81	47	0.821037348313303	1	81.0429848691016	48	47
M2845	YAP1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/YAP1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) over-expressing YAP1 [Gene ID=10413] gene.	18413746	Pablo Tamayo	5.4080162218147e-92	2.99520898438968e-91	25	47.5	47.5	3.49184366939204e-90	25	0.456815122461432	1	48.1785274910065	25	70
M2898	KRAS.LUNG.BREAST_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.LUNG.BREAST_UP.V1_DN.html	Genes down-regulated in epithelial breast cancer cell lines over-expressing an oncogenic form of  KRAS [Gene ID=3845 gene].		Pablo Tamayo	1.22022155552642e-68	2.22420131640258e-68	85	47.5	47.5	1.46559690194121e-61	11	0.809082728620419	1	64.2287903249285	84	11
M2694	P53_DN.V2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_UP.html	Genes up-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	Pablo Tamayo	5.35693658270811e-86	1.79395085560458e-85	45	48	48	1.44062935349022e-83	41	0.834338840043532	1	83.3803018854788	41	55
M2790	EIF4E_DN	http://www.broadinstitute.org/gsea/msigdb/cards/EIF4E_DN.html	Genes down-regulated in HMEC cells (primary mammary epithelium) upon over-expression of EIF4E [Gene ID=1977] gene.	17638893	Pablo Tamayo	1.90910662432321e-94	1.3091016852502e-93	10	48	48	7.9896242870453e-94	8	0.633552631656686	-1	69.156946297714	8	88
M2660	CSR_LATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_UP.html	Genes up-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	2.33042675913333e-82	6.71162906630399e-82	60	49	49	1.4747398994478e-78	42	0.521164506697462	-1	49.320208212098	56	42
M2740	PRC2_SUZ12_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_SUZ12_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of SUZ12 [Gene ID=23512] gene.	16618801	Pablo Tamayo	7.90399815084971e-82	2.10773284022659e-81	60	49	49	7.91513750006653e-78	41	0.694266521002394	1	65.7566140056697	57	41
M2757	MTOR_UP.N4.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_UP.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	Pablo Tamayo	1.73520233933581e-89	7.57179202619262e-89	35	49.5	49.5	1.72911662314634e-87	31	0.48173039173602	-1	49.4951611557391	31	68
M2762	DCA_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/DCA_UP.V1_UP.html	Genes up-regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].	17222789	Pablo Tamayo	6.40276366064321e-85	2.00434340681005e-84	45	49.5	49.5	3.49778140951902e-82	45	0.747728642453679	1	73.6384906234035	45	54
M2830	PDGF_ERK_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PDGF_ERK_DN.V1_UP.html	Genes up-regulated in SH-SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation after pre-treatment with the ERK inhibitors U0126 and PD98059 [PubChem=3006531, 4713].	18312689	Pablo Tamayo	2.86030333752931e-92	1.71618200251758e-91	25	50	50	4.71296143516125e-91	22	0.58537764335824	-1	62.3044711635764	22	78
M2888	KRAS.BREAST_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.BREAST_UP.V1_UP.html	Genes up-regulated in epithelial breast cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	2.42403251992889e-88	9.43407250999351e-88	35	50.5	50.5	3.42224945746256e-86	35	0.845114565880715	1	86.7851909203304	35	66
M2893	KRAS.LUNG_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.LUNG_UP.V1_DN.html	Genes down-regulated in epithelial lung cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	2.07034289361036e-66	3.68060958864063e-66	90	51	51	2.12399860120009e-59	12	0.871308920398909	1	66.9588358247181	90	12
M2873	JAK2_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/JAK2_DN.V1_UP.html	Genes up-regulated in HEL cells (erythroleukemia) after knockdown of JAK2 [Gene ID=3717] gene by RNAi.		Pablo Tamayo	1.67101790452576e-91	8.91209549080405e-91	25	51.5	51.5	2.48165280593643e-90	24	0.706379638479115	1	74.8689702986583	24	79
M2730	PRC1_BMI_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PRC1_BMI_UP.V1_DN.html	Genes down-regulated in TIG3 cells (fibroblasts) upon knockdown of BMI1 [Gene ID=648] gene.	16618801	Pablo Tamayo	2.65557070569292e-78	6.26888822327509e-78	70	52.5	52.5	4.12949221880161e-74	39	0.81392944545096	1	73.9433585857836	66	39
M2787	PTEN_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PTEN_DN.V1_UP.html	Genes up-regulated upon knockdown of PTEN [Gene ID=5728] by RNAi.	17560336	Pablo Tamayo	3.52913904898402e-76	7.94056286021405e-76	75	53	53	2.906424512786e-71	34	0.817727849309371	1	72.2331182569402	72	34
M2867	TBK1.DF_UP	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DF_UP.html	Genes up-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	19847166	Pablo Tamayo	3.33410773162083e-90	1.54874681726903e-89	30	53	53	7.22633696848001e-89	29	0.54373776329977	-1	56.4971336148346	29	77
M2751	CTIP_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	Pablo Tamayo	2.32246399887821e-62	3.75769455998273e-62	100	54.5	54.5	1.89282101626238e-55	13	0.682178337494334	1	48.8384696692611	96	13
M2693	P53_DN.V2_DN	http://www.broadinstitute.org/gsea/msigdb/cards/P53_DN.V2_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) upon knockdown of TP53 [Gene ID=7157] gene by RNAi.	15892871	Pablo Tamayo	2.03855603688879e-66	3.66940086639982e-66	90	56	56	1.00880883876819e-60	25	0.762444857604653	1	58.4176764507621	87	25
M2889	KRAS.KIDNEY_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.KIDNEY_UP.V1_DN.html	Genes down-regulated in epithelial kidney cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	2.02465080674554e-72	3.93986102934267e-72	80	57	57	3.84768364725294e-68	38	0.832656852439209	1	69.8874674053835	76	38
M2721	LTE2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LTE2_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) and long-term adapted for estrogen-independent growth.	16585219	Pablo Tamayo	3.67593320937968e-82	1.01795073490514e-81	55	57.5	57.5	6.65588563101912e-80	54	0.635686131709079	-1	60.3301252267728	54	61
M2714	SRC_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SRC_UP.V1_UP.html	Genes up-regulated in primary epithelial breast cancer cell culture over-expressing SRC [Gene ID=6714] gene.	16273092	Pablo Tamayo	2.02380462733087e-79	5.02461838509733e-79	60	59.5	59.5	4.44162673573049e-77	59	0.844938003750924	1	77.9247749190063	60	59
M2677	BCAT_GDS748_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_GDS748_DN.html	Genes down-regulated in HEK293 cells (kidney fibroblasts) expressing constitutively active form of CTNNB1 [Gene ID=1499] gene.	15592430	Pablo Tamayo	5.07339888786694e-91	2.43523146617613e-90	25	61	61	4.24138640735779e-91	21	0.610438972353356	-1	64.1889953906918	21	101
M2897	KRAS.LUNG_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.LUNG_UP.V1_UP.html	Genes up-regulated in epithelial lung cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	4.86300288985013e-82	1.32126870969513e-81	55	62.5	62.5	2.35201104509296e-80	53	0.813916889414849	1	77.530332827453	53	72
M2903	LEF1_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LEF1_UP.V1_DN.html	Genes down-regulated in DLD1 cells (colon carcinoma) over-expressing LEF1 [Gene ID=51176].		Pablo Tamayo	4.53026554445859e-75	9.45446722321793e-75	70	64	64	1.0965157150635e-72	58	0.607471871654596	1	52.5138353321668	70	58
M2676	VEGF_A_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	Pablo Tamayo	4.57607674035789e-26	5.49129208842947e-26	130	64.5	64.5	2.37379836294751e-16	3	0.767795369805602	1	21.8468689572091	126	3
M2838	TGFB_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TGFB_UP.V1_DN.html	Genes down-regulated in a panel of epithelial cell lines by TGFB1 [Gene ID=7040].	18394990	Pablo Tamayo	1.23621493975468e-63	2.09429354499617e-63	90	64.5	64.5	1.64301642673902e-59	40	0.646022364475707	1	47.1465894827554	89	40
M2720	CAMP_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CAMP_UP.V1_UP.html	Genes up-regulated in primary thyrocyte cultures in response to cAMP signaling pathway activation by thyrotropin (TSH).	16381821	Pablo Tamayo	9.67664843528758e-89	3.98124964194689e-88	30	67	67	3.69392671253598e-89	28	0.464478915649489	1	47.2706302591407	28	106
M2876	KRAS.50_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.50_UP.V1_DN.html	Genes down-regulated in four lineages of epithelial cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	2.84897592332338e-82	8.04416731291306e-82	55	67	67	3.56745747711134e-81	51	0.908072997940567	1	86.8971880730394	51	83
M2773	ALK_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ALK_DN.V1_DN.html	Genes down-regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [Gene ID=238] gene by RNAi.	17452456	Pablo Tamayo	2.29083035899501e-53	3.33211688581093e-53	105	67.5	67.5	4.57375172530592e-48	32	0.726032167490794	1	44.2783325318622	103	32
M2646	HINATA_NFKB_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/HINATA_NFKB_MATRIX.html	Matrix, adhesion or cytoskeleton genes induced by NF-kappaB in primary keratinocytes and fibroblasts.	12673201	Pablo Tamayo	1.19167496857825e-81	3.12002173591396e-81	55	68	68	1.44643037241848e-80	52	0.672372201024913	1	63.5010676881654	52	84
M2702	BCAT_BILD_ET_AL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BCAT_BILD_ET_AL_DN.html	Genes down-regulated in primary epithelial breast cancer cell culture over-expressing activated CTNNB1 [Gene ID=1499] gene.	16273092	Pablo Tamayo	8.56802552863679e-87	3.16357865672743e-86	35	68	68	6.60736657506034e-87	34	0.541669141493065	-1	54.1266287269933	34	102
M2892	KRAS.KIDNEY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.KIDNEY_UP.V1_UP.html	Genes up-regulated in epithelial kidney cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	3.28338579766347e-52	4.68126291944099e-52	105	68	68	6.93228871938003e-47	31	0.754464554077788	1	45.0292667189444	105	31
M2647	CYCLIN_D1_KE_.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_KE_.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) over-expressing a mutant K112E form of CCND1 [Gene ID=595] gene.	12914697	Pablo Tamayo	1.41146111406218e-37	1.7828982493417e-37	120	69	69	1.57029471547087e-31	22	0.770467808980858	1	32.5425661143017	116	22
M2756	MTOR_UP.N4.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MTOR_UP.N4.V1_DN.html	Genes up-regulated in CEM-C1 cells (T-CLL) by everolimus [PubChem = 6442177], an mTOR pathway inhibitor.	17010674	Pablo Tamayo	3.27185778001478e-75	7.03205254212132e-75	70	72	72	1.0774328267981e-73	68	0.564727185772489	1	48.8064639789433	68	76
