Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
11	M3094	GSE10325_BCELL_VS_LUPUS_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_BCELL_VS_LUPUS_BCELL_UP.html	Genes up-regulated in comparison of healthy B cells versus systemic lupus erythematosus B cells.	18275831	166/199	Jernej Godec	1e-04	0.000108004268943437	0.722772898801512	1	79.6076442111241
12	M3096	GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_MYELOID_VS_LUPUS_MYELOID_UP.html	Genes up-regulated in comparison of healthy myeloid cells versus systemic lupus erythematosus myeloid cells.	18275831	169/200	Jernej Godec	1e-04	0.000108004268943437	0.765462307417396	1	85.7191064111707
13	M3098	GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP.html	Genes up-regulated in comparison of dendritic cells activated in the absense of VAF347 [PubChem=10172275] versus those activated in the presence of VAF347 [PubChem=10172275].	18270326	168/200	Jernej Godec	1e-04	0.000108004268943437	0.532930731841771	-1	52.4296329674241
14	M3099	GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN.html	Genes down-regulated in comparison of dendritic cells activated in the absense of VAF347 [PubChem=10172275] versus those activated in the presence of VAF347 [PubChem=10172275].	18270326	135/200	Jernej Godec	1e-04	0.000108004268943437	0.706018764414509	1	77.2091040972988
15	M3100	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP.html	Genes up-regulated in comparison of macrophages treated with control (hIgG1) versus those treated with TNFRSF6B [GeneID=8771].	18349319	167/199	Jernej Godec	1e-04	0.000108004268943437	0.595312131110263	1	61.3602219818043
16	M3101	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN.html	Genes down-regulated in comparison of macrophages treated with control (hIgG1) versus those treated with TNFRSF6B [GeneID=8771].	18349319	158/200	Jernej Godec	1e-04	0.000108004268943437	0.530959597326103	-1	52.1474432048039
17	M3104	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus effector memory T cells.	19568420	170/200	Jernej Godec	1e-04	0.000108004268943437	0.582515673932272	1	59.5282672447057
18	M3105	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus effector memory T cells.	19568420	181/200	Jernej Godec	1e-04	0.000108004268943437	0.621555762136675	1	65.117288762772
19	M3106	GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of naive T cells versus central memory T cells.	19568420	156/200	Jernej Godec	1e-04	0.000108004268943437	0.600401454965123	1	62.0888151240199
20	M3107	GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN.html	Genes down-regulated in comparison of naive T cells versus central memory T cells.	19568420	188/200	Jernej Godec	1e-04	0.000108004268943437	0.573455144440231	1	58.2311519812627
